sex,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,occupation_type,career_start,career_end,result,age,num_langs
male,1,1.0,186.0,0.0,Full-time,1.0,Student (Specialist),Українська,False,False,work,1986,False,0,39.0,1
male,1,1.0,85.0,2009.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,39.0,1
female,1,1.0,148.0,2007.0,Full-time,4.0,Alumnus (Specialist),False,0,0,university,False,False,1,40.0,1
male,1,1.0,126.0,0.0,Full-time,0.0,Student (Specialist),False,0,0,university,2007,2008,0,39.0,1
female,1,1.0,783.0,2012.0,Part-time,0.0,Alumnus (Bachelor's),Українська,0,0,university,False,False,1,44.0,1
female,0,1.0,28.0,2000.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,37.0,1
male,1,0.0,153.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,False,False,0,37.0,1
male,1,1.0,343.0,2015.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,work,2018,False,0,37.0,1
male,1,1.0,56.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,work,2014,False,1,42.0,1
female,0,1.0,518.0,0.0,Distance Learning,4.0,Student (Specialist),Українська,1,2,university,False,False,1,33.0,1
male,1,1.0,104.0,2015.0,Distance Learning,1.0,Student (Bachelor's),Українська,1,2,university,2009,2009,0,34.0,1
male,1,1.0,624.0,2011.0,Full-time,0.0,Alumnus (Bachelor's),Українська,3,5,university,False,False,0,36.0,1
male,1,1.0,200.0,2003.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,work,2003,False,0,37.0,1
male,0,1.0,373.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Українська,1,2,university,False,False,0,37.0,1
female,1,1.0,1292.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,work,2004,False,1,41.0,1
male,1,1.0,247.0,2008.0,Part-time,1.0,Alumnus (Specialist),Українська,1,2,university,False,False,0,40.0,1
male,1,1.0,174.0,2007.0,Full-time,1.0,Alumnus (Master's),Українська,0,6,work,2004,False,0,41.0,1
male,0,1.0,192.0,2017.0,Full-time,0.0,Student (Bachelor's),Українська;English;Français,3,2,university,False,False,0,37.0,3
male,0,1.0,38.0,2000.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,1,1.0,25.0,2009.0,Distance Learning,5.0,Alumnus (Specialist),False,False,False,university,False,False,1,43.0,1
male,0,0.0,91.0,2014.0,Full-time,0.0,PhD,Абаза Бызшва,0,0,university,2013,2014,0,111.0,1
male,1,1.0,43.0,2008.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,39.0,1
female,0,1.0,257.0,2013.0,Distance Learning,0.0,Student (Bachelor's),Українська;Deutsch;English,0,6,university,False,False,1,33.0,3
female,1,1.0,155.0,2016.0,Full-time,1.0,Alumnus (Bachelor's),False,6,2,university,False,False,1,31.0,1
female,0,1.0,1629.0,2014.0,Full-time,0.0,Student (Specialist),False,1,6,work,2013,False,1,37.0,1
male,1,1.0,303.0,2007.0,,4.0,Alumnus (Specialist),Українська;English;Чăвашла,1,2,work,2020,False,0,41.0,3
female,0,1.0,530.0,2011.0,Distance Learning,0.0,Student (Specialist),Українська,0,0,university,False,False,1,36.0,1
male,1,1.0,50.0,2015.0,Distance Learning,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,42.0,1
female,0,1.0,130.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,0,0,work,2011,False,1,34.0,1
male,1,1.0,42.0,2013.0,Full-time,4.0,Student (Bachelor's),Українська,False,False,university,False,False,0,37.0,1
male,1,1.0,358.0,2018.0,Full-time,0.0,Student (Specialist),Українська,3,0,work,1995,False,0,30.0,1
male,0,1.0,53.0,2007.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,2007,False,1,37.0,1
female,0,1.0,104.0,2003.0,Part-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,45.0,1
female,0,1.0,767.0,2003.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,2018,False,1,45.0,1
male,1,1.0,7.0,2007.0,Full-time,0.0,Alumnus (Master's),Українська,0,0,university,False,False,0,35.0,1
female,1,1.0,279.0,2012.0,Full-time,4.0,Student (Specialist),False,0,0,work,False,False,1,34.0,1
female,1,1.0,922.0,2021.0,,4.0,Alumnus (Master's),False,0,0,university,False,False,1,32.0,1
female,1,1.0,869.0,2011.0,Distance Learning,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,1,1.0,80.0,2011.0,Full-time,4.0,Student (Bachelor's),Українська,0,2,work,2001,False,1,37.0,1
female,1,1.0,623.0,0.0,Full-time,4.0,Student (Specialist),Українська,6,1,university,False,False,1,37.0,1
male,0,1.0,94.0,2011.0,Distance Learning,0.0,Student (Bachelor's),Українська,0,0,university,2010,2011,0,37.0,1
male,0,1.0,202.0,2016.0,,0.0,Alumnus (Specialist),Українська;English;Français;Svenska;हिन्दी;Словѣ́ньскъ,0,0,work,2004,False,1,40.0,6
female,0,1.0,217.0,2001.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,2001,2013,1,37.0,1
male,1,1.0,81.0,2005.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,2007,False,0,41.0,1
male,1,1.0,95.0,2003.0,Full-time,4.0,Alumnus (Master's),Українська,0,0,university,2014,False,0,37.0,1
male,1,1.0,82.0,2014.0,Full-time,4.0,Student (Specialist),False,0,0,university,False,False,0,37.0,1
male,1,1.0,62.0,0.0,Full-time,0.0,Undergraduate applicant,Українська,2,False,university,False,False,0,37.0,1
female,1,1.0,323.0,2016.0,Full-time,0.0,Alumnus (Specialist),False,0,0,work,2015,False,1,37.0,1
female,1,1.0,118.0,2015.0,Full-time,0.0,Student (Bachelor's),False,2,1,,False,False,1,38.0,1
male,0,1.0,180.0,0.0,Full-time,0.0,Alumnus (Bachelor's),Українська;English;Español,0,0,university,False,False,1,37.0,3
female,0,1.0,339.0,2016.0,Full-time,4.0,Student (Bachelor's),Українська;English,6,1,work,2018,False,1,31.0,2
female,0,1.0,29.0,0.0,Full-time,0.0,Alumnus (Specialist),False,False,False,,False,False,1,37.0,1
female,1,1.0,454.0,2012.0,,4.0,Alumnus (Specialist),Українська,1,2,university,False,False,1,33.0,1
female,0,1.0,40.0,2002.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,2002,2014,1,37.0,1
male,0,1.0,190.0,2013.0,Full-time,1.0,Alumnus (Specialist),Українська;English;Deutsch,0,0,university,False,False,0,37.0,3
female,0,1.0,975.0,2014.0,Full-time,0.0,Alumnus (Specialist),Українська;English,6,6,work,2013,False,1,37.0,2
male,1,1.0,83.0,0.0,Distance Learning,7.0,Alumnus (Bachelor's),Українська,6,5,work,False,False,0,29.0,1
female,0,1.0,1960.0,2015.0,Distance Learning,1.0,Alumnus (Specialist),Українська,6,2,university,False,False,1,35.0,1
male,1,1.0,33.0,2000.0,Distance Learning,1.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,49.0,1
female,1,1.0,225.0,0.0,Full-time,4.0,Student (Bachelor's),Українська;English,0,0,university,False,False,1,31.0,2
male,0,1.0,215.0,2011.0,Full-time,0.0,Alumnus (Specialist),Українська;English;Deutsch;Лакку маз,1,2,university,False,False,1,36.0,4
male,1,1.0,578.0,2007.0,Full-time,4.0,Alumnus (Specialist),Українська;Русский;English,0,0,work,2007,False,0,41.0,3
female,1,1.0,146.0,2014.0,Full-time,0.0,Student (Specialist),Українська;English;Italiano,0,0,university,False,False,1,33.0,3
male,0,1.0,221.0,2016.0,,4.0,Student (Bachelor's),Українська,0,0,university,False,False,0,33.0,1
male,0,1.0,24.0,2010.0,Full-time,4.0,Undergraduate applicant,Українська,1,0,university,False,False,0,35.0,1
male,0,1.0,252.0,2016.0,Distance Learning,7.0,Student (Specialist),Українська,0,0,university,False,False,1,35.0,1
female,0,1.0,1772.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,work,2019,False,1,38.0,1
female,1,1.0,4588.0,2010.0,Full-time,4.0,Student (Specialist),Українська,0,6,work,False,False,1,37.0,1
male,0,1.0,333.0,2015.0,Full-time,2.0,Alumnus (Specialist),Українська;English,5,1,work,2015,False,1,36.0,2
male,1,1.0,65.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,0,0,university,False,False,0,37.0,1
female,1,1.0,99.0,2006.0,,4.0,Alumnus (Specialist),Українська,0,0,work,False,False,1,37.0,1
female,1,1.0,215.0,0.0,Full-time,0.0,Student (Bachelor's),Українська,0,2,work,2018,False,1,37.0,1
male,0,1.0,217.0,2012.0,Full-time,1.0,Student (Specialist),Українська,0,0,university,False,False,0,35.0,1
female,0,1.0,41.0,0.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,0,1.0,22.0,2000.0,Part-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
male,0,1.0,115.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,5,5,work,False,False,1,44.0,1
male,1,1.0,75.0,2016.0,Full-time,0.0,Alumnus (Specialist),Українська;English,0,0,university,False,False,0,37.0,2
male,0,1.0,1003.0,2016.0,Distance Learning,0.0,Student (Specialist),Українська,False,False,university,False,False,0,31.0,1
female,0,1.0,512.0,0.0,Full-time,4.0,Student (Bachelor's),Українська,False,False,work,2013,False,1,37.0,1
male,0,1.0,540.0,2017.0,Part-time,4.0,Student (Specialist),Українська,6,2,work,2015,False,0,32.0,1
female,0,1.0,997.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Українська,1,2,university,False,False,1,37.0,1
male,0,1.0,116.0,2012.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,university,False,False,0,35.0,1
male,1,1.0,245.0,2011.0,Full-time,1.0,Alumnus (Bachelor's),Українська;Русский;English,0,2,university,False,False,0,37.0,3
male,0,1.0,352.0,2013.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,university,False,False,0,36.0,1
female,1,1.0,2655.0,2014.0,Full-time,7.0,Alumnus (Bachelor's),False,0,0,university,False,False,1,32.0,1
male,1,1.0,89.0,2007.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,37.0,1
female,1,1.0,153.0,2014.0,Full-time,0.0,Alumnus (Master's),False,False,False,university,False,False,1,35.0,1
female,0,1.0,171.0,1992.0,Full-time,4.0,Alumnus (Specialist),Українська,6,2,university,False,False,1,54.0,1
male,1,1.0,101.0,2009.0,Full-time,1.0,Alumnus (Specialist),Українська,1,5,work,2005,False,0,37.0,1
female,1,1.0,214.0,2014.0,Distance Learning,0.0,Alumnus (Specialist),Українська,1,2,university,False,False,0,37.0,1
male,1,1.0,5.0,1977.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,77.0,1
male,1,1.0,34.0,2009.0,Part-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,0,37.0,1
female,1,1.0,295.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,0,0,work,2015,False,1,37.0,1
female,0,1.0,180.0,2012.0,Part-time,4.0,Student (Specialist),Українська,False,False,university,False,False,1,41.0,1
female,0,1.0,269.0,0.0,,4.0,Candidate of Sciences,Українська,0,2,,False,False,1,37.0,1
male,0,1.0,190.0,2013.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,work,False,False,0,35.0,1
male,1,1.0,374.0,2017.0,Part-time,0.0,Alumnus (Specialist),Українська,6,5,university,False,False,0,35.0,1
male,0,1.0,60894.0,0.0,,4.0,Student (Master's),Українська;Deutsch;English;ภาษาไทย;Español,5,5,work,2020,False,1,30.0,5
male,0,1.0,139.0,2004.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,43.0,1
female,0,1.0,922.0,2014.0,Full-time,1.0,Student (Specialist),Українська;English;Français,5,1,work,2016,False,0,37.0,3
male,0,1.0,245.0,2012.0,Full-time,7.0,Alumnus (Specialist),Українська;English,6,2,university,False,False,1,37.0,2
female,1,1.0,300.0,2016.0,Full-time,1.0,Student (Bachelor's),Українська;Русский,False,2,university,False,False,1,30.0,2
female,0,1.0,366.0,2011.0,Full-time,0.0,Student (Specialist),False,0,0,university,False,False,1,37.0,1
female,1,1.0,846.0,2016.0,Full-time,1.0,Student (Bachelor's),Українська;English,0,2,work,2017,False,1,37.0,2
female,0,1.0,0.0,2010.0,,1.0,Alumnus (Master's),English;Українська,6,0,university,False,False,1,40.0,2
female,1,1.0,209.0,2010.0,,0.0,Student (Specialist),False,1,5,,False,False,1,30.0,1
male,0,1.0,63.0,2006.0,Full-time,1.0,Alumnus (Specialist),Українська;English,False,False,university,False,False,0,42.0,2
female,1,1.0,1116.0,0.0,Full-time,0.0,Student (Specialist),False,0,0,university,False,False,1,37.0,1
male,0,1.0,207.0,2021.0,Full-time,0.0,Alumnus (Bachelor's),Українська;English,0,0,university,2019,False,0,37.0,2
male,1,1.0,172.0,2007.0,Full-time,4.0,Alumnus (Bachelor's),Українська;Русский;Polski,6,2,work,2008,False,0,39.0,3
female,0,1.0,1741.0,0.0,Full-time,0.0,Student (Specialist),Українська,False,False,work,False,False,1,37.0,1
male,1,1.0,39.0,2001.0,Full-time,4.0,Student (Specialist),Українська,6,2,university,False,False,0,37.0,1
male,0,1.0,245.0,2006.0,Full-time,1.0,Alumnus (Specialist),Українська,1,2,university,False,False,0,37.0,1
female,0,1.0,19010.0,2013.0,Full-time,0.0,Alumnus (Specialist),False,0,0,university,False,False,1,37.0,1
female,1,1.0,47.0,1993.0,Full-time,4.0,Alumnus (Bachelor's),Українська;English,4,2,work,2008,False,1,37.0,2
female,0,1.0,561.0,2019.0,Full-time,1.0,Alumnus (Specialist),False,0,0,work,False,False,1,37.0,1
female,0,1.0,38.0,2007.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,1,1.0,557.0,2004.0,,1.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
male,0,1.0,17.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,41.0,1
female,0,1.0,11740.0,2012.0,Full-time,1.0,Alumnus (Bachelor's),Українська;English,0,2,,False,False,1,37.0,2
male,0,1.0,274.0,2013.0,Full-time,7.0,Student (Bachelor's),Українська,0,4,work,False,False,1,37.0,1
male,0,1.0,65.0,0.0,Full-time,4.0,Undergraduate applicant,False,0,0,university,False,False,0,38.0,1
female,1,1.0,278.0,2011.0,Full-time,1.0,Alumnus (Master's),Українська,6,1,university,False,False,1,37.0,1
female,0,1.0,835.0,2009.0,Full-time,1.0,Alumnus (Specialist),False,0,0,university,2009,2016,1,38.0,1
male,0,1.0,7.0,2011.0,Distance Learning,4.0,Student (Specialist),False,False,False,work,2007,False,0,39.0,1
male,0,1.0,82.0,2013.0,Distance Learning,4.0,Alumnus (Bachelor's),False,6,0,work,False,False,1,37.0,1
female,1,1.0,1040.0,2010.0,Full-time,1.0,Student (Specialist),Українська,0,6,university,False,False,1,33.0,1
female,1,1.0,654.0,2012.0,Full-time,8.0,Student (Specialist),Українська,1,1,work,2014,False,1,37.0,1
female,1,1.0,415.0,2012.0,Distance Learning,4.0,Alumnus (Specialist),False,5,6,work,2018,False,1,36.0,1
male,0,1.0,552.0,2019.0,Full-time,2.0,Alumnus (Bachelor's),Українська;Русский;English,5,2,university,False,False,1,29.0,3
male,0,1.0,69.0,2008.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,,False,False,1,37.0,1
male,1,1.0,881.0,2013.0,Full-time,0.0,Student (Specialist),Українська;English,6,1,work,False,False,1,34.0,2
male,0,1.0,141.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,42.0,1
male,1,1.0,3212.0,1988.0,Full-time,0.0,Alumnus (Master's),False,False,False,university,1980,1983,1,37.0,1
male,0,1.0,162.0,2016.0,Full-time,0.0,Student (Bachelor's),Українська;English,5,1,university,False,False,1,37.0,2
female,1,1.0,427.0,0.0,,0.0,Alumnus (Master's),False,0,0,university,False,False,1,37.0,1
female,1,1.0,616.0,2011.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,1,1.0,1706.0,2014.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,2009,False,1,36.0,1
male,1,1.0,553.0,0.0,Full-time,0.0,Candidate of Sciences,Српски;Deutsch;Español;日本語,0,0,work,2019,False,0,37.0,4
female,0,1.0,104.0,2007.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,0,1.0,697.0,2012.0,Full-time,4.0,Student (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,0,1.0,14.0,2011.0,Full-time,1.0,Student (Specialist),False,0,0,university,False,False,1,37.0,1
female,0,1.0,320.0,0.0,Full-time,4.0,Alumnus (Bachelor's),Українська;English;Español;Français,1,2,university,False,False,1,33.0,4
female,0,1.0,732.0,2012.0,Full-time,7.0,Student (Bachelor's),Українська;English;Русский,False,False,university,False,False,1,37.0,3
male,0,1.0,35.0,2014.0,Full-time,0.0,Undergraduate applicant,False,False,False,university,False,False,1,37.0,1
male,1,1.0,127.0,2014.0,Full-time,0.0,Student (Specialist),False,0,6,university,False,False,0,33.0,1
male,1,1.0,233.0,2013.0,Full-time,4.0,Student (Specialist),False,0,0,university,False,False,0,35.0,1
